Name,Age,Nationality,Position,Team,Game Position,Star Rating,"Helper Cells
IGNORE",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Stopping,Claiming,Distribution,Shooting,Dribbling,Passing,Defence,Unnamed: 21,Stopping.1,Claiming.1,Distribution.1,Shooting.1,Dribbling.1,Passing.1,Defence.1,Unnamed: 29,Stopping.2,Claiming.2,Distribution.2,Shooting.2,Dribbling.2,Passing.2,Defence.2,Unnamed: 37,Stopping.3,Claiming.3,Distribution.3,Shooting.3,Dribbling.3,Passing.3,Defence.3,Unnamed: 45,Stopping.4,Claiming.4,Distribution.4,Shooting.4,Dribbling.4,Passing.4,Defence.4,Photos,Unnamed: 54,OPTA ID,Team Badge,"Concatenate Name with "".png""","double checking if name match with image name (1 = yes, 0 = no)",MetadataCommon,MetadataUncommon,MetadataRare,MetadataUltra Rare,MetadataLegendary,ImageCommon,ImageUncommon,ImageRare,ImageUltra Rare,ImageLegendary
Roberto Lopez Alcaide,24,Spain,Attacking Midfield,CD LEGANÉS,Midfield,2,,,,1.35,1.35,1.35,1.35,1.0,1.0,1.0,1.3,1.55,1.55,1.4,,1.0,1.0,1.0,1.4,1.65,1.65,1.5,,1.0,1.0,1.0,1.55,1.8,1.8,1.65,,1.0,1.0,1.0,1.75,2.0,2.0,1.85,,1.0,1.0,1.0,2.0,2.25,2.25,2.1,Roberto Lopez Alcaide.png,,cdnnjwfwzhsre2xkb37ykpbhm,Leganes.png,Roberto Lopez Alcaide.png,1,https://players.gameon.app/laliga/season/metadata/Roberto Lopez Alcaide/Roberto Lopez Alcaide_Common_0.json,https://players.gameon.app/laliga/season/metadata/Roberto Lopez Alcaide/Roberto Lopez Alcaide_Uncommon_0.json,https://players.gameon.app/laliga/season/metadata/Roberto Lopez Alcaide/Roberto Lopez Alcaide_Rare_0.json,https://players.gameon.app/laliga/season/metadata/Roberto Lopez Alcaide/Roberto Lopez Alcaide_Ultra Rare_0.json,https://players.gameon.app/laliga/season/metadata/Roberto Lopez Alcaide/Roberto Lopez Alcaide_Legendary_0.json,https://players.gameon.app/laliga/season/images/Roberto Lopez Alcaide/Roberto Lopez Alcaide_Common_0.png,https://players.gameon.app/laliga/season/images/Roberto Lopez Alcaide/Roberto Lopez Alcaide_Uncommon_0.png,https://players.gameon.app/laliga/season/images/Roberto Lopez Alcaide/Roberto Lopez Alcaide_Rare_0.png,https://players.gameon.app/laliga/season/images/Roberto Lopez Alcaide/Roberto Lopez Alcaide_Ultra Rare_0.png,https://players.gameon.app/laliga/season/images/Roberto Lopez Alcaide/Roberto Lopez Alcaide_Legendary_0.png
Sebastien Romain Teddy Haller,30,France,Centre-Forward,CD LEGANÉS,Offence,4,,,,1.35,1.35,1.35,1.35,1.0,1.0,1.0,1.65,1.45,1.4,1.15,,1.0,1.0,1.0,1.75,1.55,1.5,1.25,,1.0,1.0,1.0,1.9,1.7,1.65,1.4,,1.0,1.0,1.0,2.1,1.9,1.85,1.6,,1.0,1.0,1.0,2.35,2.15,2.1,1.85,Sebastien Romain Teddy Haller.png,,cy0lv5u16obr2ne4xiins43x1,Leganes.png,Sebastien Romain Teddy Haller.png,1,https://players.gameon.app/laliga/season/metadata/Sebastien Romain Teddy Haller/Sebastien Romain Teddy Haller_Common_0.json,https://players.gameon.app/laliga/season/metadata/Sebastien Romain Teddy Haller/Sebastien Romain Teddy Haller_Uncommon_0.json,https://players.gameon.app/laliga/season/metadata/Sebastien Romain Teddy Haller/Sebastien Romain Teddy Haller_Rare_0.json,https://players.gameon.app/laliga/season/metadata/Sebastien Romain Teddy Haller/Sebastien Romain Teddy Haller_Ultra Rare_0.json,https://players.gameon.app/laliga/season/metadata/Sebastien Romain Teddy Haller/Sebastien Romain Teddy Haller_Legendary_0.json,https://players.gameon.app/laliga/season/images/Sebastien Romain Teddy Haller/Sebastien Romain Teddy Haller_Common_0.png,https://players.gameon.app/laliga/season/images/Sebastien Romain Teddy Haller/Sebastien Romain Teddy Haller_Uncommon_0.png,https://players.gameon.app/laliga/season/images/Sebastien Romain Teddy Haller/Sebastien Romain Teddy Haller_Rare_0.png,https://players.gameon.app/laliga/season/images/Sebastien Romain Teddy Haller/Sebastien Romain Teddy Haller_Ultra Rare_0.png,https://players.gameon.app/laliga/season/images/Sebastien Romain Teddy Haller/Sebastien Romain Teddy Haller_Legendary_0.png
Sergio Gonzalez Poirrier,32,Spain,Centre-Back,CD LEGANÉS,Defence,2,,,,1.35,1.35,1.35,1.35,1.0,1.0,1.0,1.05,1.45,1.45,1.65,,1.0,1.0,1.0,1.15,1.55,1.55,1.75,,1.0,1.0,1.0,1.3,1.7,1.7,1.9,,1.0,1.0,1.0,1.5,1.9,1.9,2.1,,1.0,1.0,1.0,1.75,2.15,2.15,2.35,Sergio Gonzalez Poirrier.png,,dvyl5rfgfkoplnwrs73rkidhx,Leganes.png,Sergio Gonzalez Poirrier.png,1,https://players.gameon.app/laliga/season/metadata/Sergio Gonzalez Poirrier/Sergio Gonzalez Poirrier_Common_0.json,https://players.gameon.app/laliga/season/metadata/Sergio Gonzalez Poirrier/Sergio Gonzalez Poirrier_Uncommon_0.json,https://players.gameon.app/laliga/season/metadata/Sergio Gonzalez Poirrier/Sergio Gonzalez Poirrier_Rare_0.json,https://players.gameon.app/laliga/season/metadata/Sergio Gonzalez Poirrier/Sergio Gonzalez Poirrier_Ultra Rare_0.json,https://players.gameon.app/laliga/season/metadata/Sergio Gonzalez Poirrier/Sergio Gonzalez Poirrier_Legendary_0.json,https://players.gameon.app/laliga/season/images/Sergio Gonzalez Poirrier/Sergio Gonzalez Poirrier_Common_0.png,https://players.gameon.app/laliga/season/images/Sergio Gonzalez Poirrier/Sergio Gonzalez Poirrier_Uncommon_0.png,https://players.gameon.app/laliga/season/images/Sergio Gonzalez Poirrier/Sergio Gonzalez Poirrier_Rare_0.png,https://players.gameon.app/laliga/season/images/Sergio Gonzalez Poirrier/Sergio Gonzalez Poirrier_Ultra Rare_0.png,https://players.gameon.app/laliga/season/images/Sergio Gonzalez Poirrier/Sergio Gonzalez Poirrier_Legendary_0.png
Seydouba Cisse,23,Republic of Guinea,Central Midfield,CD LEGANÉS,Midfield,2,,,,1.35,1.35,1.35,1.35,1.0,1.0,1.0,1.3,1.55,1.55,1.4,,1.0,1.0,1.0,1.4,1.65,1.65,1.5,,1.0,1.0,1.0,1.55,1.8,1.8,1.65,,1.0,1.0,1.0,1.75,2.0,2.0,1.85,,1.0,1.0,1.0,2.0,2.25,2.25,2.1,Seydouba Cisse.png,,bxzhhmig5if9pznqa0fgxlyei,Leganes.png,Seydouba Cisse.png,1,https://players.gameon.app/laliga/season/metadata/Seydouba Cisse/Seydouba Cisse_Common_0.json,https://players.gameon.app/laliga/season/metadata/Seydouba Cisse/Seydouba Cisse_Uncommon_0.json,https://players.gameon.app/laliga/season/metadata/Seydouba Cisse/Seydouba Cisse_Rare_0.json,https://players.gameon.app/laliga/season/metadata/Seydouba Cisse/Seydouba Cisse_Ultra Rare_0.json,https://players.gameon.app/laliga/season/metadata/Seydouba Cisse/Seydouba Cisse_Legendary_0.json,https://players.gameon.app/laliga/season/images/Seydouba Cisse/Seydouba Cisse_Common_0.png,https://players.gameon.app/laliga/season/images/Seydouba Cisse/Seydouba Cisse_Uncommon_0.png,https://players.gameon.app/laliga/season/images/Seydouba Cisse/Seydouba Cisse_Rare_0.png,https://players.gameon.app/laliga/season/images/Seydouba Cisse/Seydouba Cisse_Ultra Rare_0.png,https://players.gameon.app/laliga/season/images/Seydouba Cisse/Seydouba Cisse_Legendary_0.png
Valentin Andre Henri Rosier,28,France,Right-Back,CD LEGANÉS,Defence,3,,,,1.35,1.35,1.35,1.35,1.0,1.0,1.0,1.1,1.5,1.5,1.6,,1.0,1.0,1.0,1.2,1.6,1.6,1.7,,1.0,1.0,1.0,1.35,1.75,1.75,1.85,,1.0,1.0,1.0,1.55,1.95,1.95,2.05,,1.0,1.0,1.0,1.8,2.2,2.2,2.3,Valentin Andre Henri Rosier.png,,3ex56ma2xf94ex429ay35gusp,Leganes.png,Valentin Andre Henri Rosier.png,1,https://players.gameon.app/laliga/season/metadata/Valentin Andre Henri Rosier/Valentin Andre Henri Rosier_Common_0.json,https://players.gameon.app/laliga/season/metadata/Valentin Andre Henri Rosier/Valentin Andre Henri Rosier_Uncommon_0.json,https://players.gameon.app/laliga/season/metadata/Valentin Andre Henri Rosier/Valentin Andre Henri Rosier_Rare_0.json,https://players.gameon.app/laliga/season/metadata/Valentin Andre Henri Rosier/Valentin Andre Henri Rosier_Ultra Rare_0.json,https://players.gameon.app/laliga/season/metadata/Valentin Andre Henri Rosier/Valentin Andre Henri Rosier_Legendary_0.json,https://players.gameon.app/laliga/season/images/Valentin Andre Henri Rosier/Valentin Andre Henri Rosier_Common_0.png,https://players.gameon.app/laliga/season/images/Valentin Andre Henri Rosier/Valentin Andre Henri Rosier_Uncommon_0.png,https://players.gameon.app/laliga/season/images/Valentin Andre Henri Rosier/Valentin Andre Henri Rosier_Rare_0.png,https://players.gameon.app/laliga/season/images/Valentin Andre Henri Rosier/Valentin Andre Henri Rosier_Ultra Rare_0.png,https://players.gameon.app/laliga/season/images/Valentin Andre Henri Rosier/Valentin Andre Henri Rosier_Legendary_0.png
Yvan Latour Neyou Noupa,27,Cameroon,Defensive Midfield,CD LEGANÉS,Midfield,2,,,,1.35,1.35,1.35,1.35,1.0,1.0,1.0,1.3,1.55,1.55,1.4,,1.0,1.0,1.0,1.4,1.65,1.65,1.5,,1.0,1.0,1.0,1.55,1.8,1.8,1.65,,1.0,1.0,1.0,1.75,2.0,2.0,1.85,,1.0,1.0,1.0,2.0,2.25,2.25,2.1,Yvan Latour Neyou Noupa.png,,6772p87u8cf9g6qyk5x414h61,Leganes.png,Yvan Latour Neyou Noupa.png,1,https://players.gameon.app/laliga/season/metadata/Yvan Latour Neyou Noupa/Yvan Latour Neyou Noupa_Common_0.json,https://players.gameon.app/laliga/season/metadata/Yvan Latour Neyou Noupa/Yvan Latour Neyou Noupa_Uncommon_0.json,https://players.gameon.app/laliga/season/metadata/Yvan Latour Neyou Noupa/Yvan Latour Neyou Noupa_Rare_0.json,https://players.gameon.app/laliga/season/metadata/Yvan Latour Neyou Noupa/Yvan Latour Neyou Noupa_Ultra Rare_0.json,https://players.gameon.app/laliga/season/metadata/Yvan Latour Neyou Noupa/Yvan Latour Neyou Noupa_Legendary_0.json,https://players.gameon.app/laliga/season/images/Yvan Latour Neyou Noupa/Yvan Latour Neyou Noupa_Common_0.png,https://players.gameon.app/laliga/season/images/Yvan Latour Neyou Noupa/Yvan Latour Neyou Noupa_Uncommon_0.png,https://players.gameon.app/laliga/season/images/Yvan Latour Neyou Noupa/Yvan Latour Neyou Noupa_Rare_0.png,https://players.gameon.app/laliga/season/images/Yvan Latour Neyou Noupa/Yvan Latour Neyou Noupa_Ultra Rare_0.png,https://players.gameon.app/laliga/season/images/Yvan Latour Neyou Noupa/Yvan Latour Neyou Noupa_Legendary_0.png
Alfonso Gonzalez Martinez,25,Spain,Left Winger,CELTA DE VIGO,Offence,1,,,,1.35,1.35,1.35,1.35,1.0,1.0,1.0,1.5,1.3,1.25,1.0,,1.0,1.0,1.0,1.6,1.4,1.35,1.1,,1.0,1.0,1.0,1.75,1.55,1.5,1.25,,1.0,1.0,1.0,1.95,1.75,1.7,1.45,,1.0,1.0,1.0,2.2,2.0,1.95,1.7,Alfonso Gonzalez Martinez.png,,7lo14fnq32yyyqql6jws5w3xl,Celta Vigo.png,Alfonso Gonzalez Martinez.png,1,https://players.gameon.app/laliga/season/metadata/Alfonso Gonzalez Martinez/Alfonso Gonzalez Martinez_Common_0.json,https://players.gameon.app/laliga/season/metadata/Alfonso Gonzalez Martinez/Alfonso Gonzalez Martinez_Uncommon_0.json,https://players.gameon.app/laliga/season/metadata/Alfonso Gonzalez Martinez/Alfonso Gonzalez Martinez_Rare_0.json,https://players.gameon.app/laliga/season/metadata/Alfonso Gonzalez Martinez/Alfonso Gonzalez Martinez_Ultra Rare_0.json,https://players.gameon.app/laliga/season/metadata/Alfonso Gonzalez Martinez/Alfonso Gonzalez Martinez_Legendary_0.json,https://players.gameon.app/laliga/season/images/Alfonso Gonzalez Martinez/Alfonso Gonzalez Martinez_Common_0.png,https://players.gameon.app/laliga/season/images/Alfonso Gonzalez Martinez/Alfonso Gonzalez Martinez_Uncommon_0.png,https://players.gameon.app/laliga/season/images/Alfonso Gonzalez Martinez/Alfonso Gonzalez Martinez_Rare_0.png,https://players.gameon.app/laliga/season/images/Alfonso Gonzalez Martinez/Alfonso Gonzalez Martinez_Ultra Rare_0.png,https://players.gameon.app/laliga/season/images/Alfonso Gonzalez Martinez/Alfonso Gonzalez Martinez_Legendary_0.png
Anastasios Douvikas,25,Greece,Centre-Forward,CELTA DE VIGO,Offence,3,,,,1.35,1.35,1.35,1.35,1.0,1.0,1.0,1.6,1.4,1.35,1.1,,1.0,1.0,1.0,1.7,1.5,1.45,1.2,,1.0,1.0,1.0,1.85,1.65,1.6,1.35,,1.0,1.0,1.0,2.05,1.85,1.8,1.55,,1.0,1.0,1.0,2.3,2.1,2.05,1.8,Anastasios Douvikas.png,,1p0xp2onnys7jlru55vfgf1pm,Celta Vigo.png,Anastasios Douvikas.png,1,https://players.gameon.app/laliga/season/metadata/Anastasios Douvikas/Anastasios Douvikas_Common_0.json,https://players.gameon.app/laliga/season/metadata/Anastasios Douvikas/Anastasios Douvikas_Uncommon_0.json,https://players.gameon.app/laliga/season/metadata/Anastasios Douvikas/Anastasios Douvikas_Rare_0.json,https://players.gameon.app/laliga/season/metadata/Anastasios Douvikas/Anastasios Douvikas_Ultra Rare_0.json,https://players.gameon.app/laliga/season/metadata/Anastasios Douvikas/Anastasios Douvikas_Legendary_0.json,https://players.gameon.app/laliga/season/images/Anastasios Douvikas/Anastasios Douvikas_Common_0.png,https://players.gameon.app/laliga/season/images/Anastasios Douvikas/Anastasios Douvikas_Uncommon_0.png,https://players.gameon.app/laliga/season/images/Anastasios Douvikas/Anastasios Douvikas_Rare_0.png,https://players.gameon.app/laliga/season/images/Anastasios Douvikas/Anastasios Douvikas_Ultra Rare_0.png,https://players.gameon.app/laliga/season/images/Anastasios Douvikas/Anastasios Douvikas_Legendary_0.png
Borja Iglesias Quintas,31,Spain,Centre-Forward,CELTA DE VIGO,Offence,3,,,,1.35,1.35,1.35,1.35,1.0,1.0,1.0,1.6,1.4,1.35,1.1,,1.0,1.0,1.0,1.7,1.5,1.45,1.2,,1.0,1.0,1.0,1.85,1.65,1.6,1.35,,1.0,1.0,1.0,2.05,1.85,1.8,1.55,,1.0,1.0,1.0,2.3,2.1,2.05,1.8,Borja Iglesias Quintas.png,,d12m2oz1lomkc1qxmpht38lat,Celta Vigo.png,Borja Iglesias Quintas.png,1,https://players.gameon.app/laliga/season/metadata/Borja Iglesias Quintas/Borja Iglesias Quintas_Common_0.json,https://players.gameon.app/laliga/season/metadata/Borja Iglesias Quintas/Borja Iglesias Quintas_Uncommon_0.json,https://players.gameon.app/laliga/season/metadata/Borja Iglesias Quintas/Borja Iglesias Quintas_Rare_0.json,https://players.gameon.app/laliga/season/metadata/Borja Iglesias Quintas/Borja Iglesias Quintas_Ultra Rare_0.json,https://players.gameon.app/laliga/season/metadata/Borja Iglesias Quintas/Borja Iglesias Quintas_Legendary_0.json,https://players.gameon.app/laliga/season/images/Borja Iglesias Quintas/Borja Iglesias Quintas_Common_0.png,https://players.gameon.app/laliga/season/images/Borja Iglesias Quintas/Borja Iglesias Quintas_Uncommon_0.png,https://players.gameon.app/laliga/season/images/Borja Iglesias Quintas/Borja Iglesias Quintas_Rare_0.png,https://players.gameon.app/laliga/season/images/Borja Iglesias Quintas/Borja Iglesias Quintas_Ultra Rare_0.png,https://players.gameon.app/laliga/season/images/Borja Iglesias Quintas/Borja Iglesias Quintas_Legendary_0.png
Carl Anders Theodor Starfelt,29,Sweden,Centre-Back,CELTA DE VIGO,Defence,3,,,,1.35,1.35,1.35,1.35,1.0,1.0,1.0,1.1,1.5,1.5,1.6,,1.0,1.0,1.0,1.2,1.6,1.6,1.7,,1.0,1.0,1.0,1.35,1.75,1.75,1.85,,1.0,1.0,1.0,1.55,1.95,1.95,2.05,,1.0,1.0,1.0,1.8,2.2,2.2,2.3,Carl Anders Theodor Starfelt.png,,cksi669gcnskpytzh70a43it,Celta Vigo.png,Carl Anders Theodor Starfelt.png,1,https://players.gameon.app/laliga/season/metadata/Carl Anders Theodor Starfelt/Carl Anders Theodor Starfelt_Common_0.json,https://players.gameon.app/laliga/season/metadata/Carl Anders Theodor Starfelt/Carl Anders Theodor Starfelt_Uncommon_0.json,https://players.gameon.app/laliga/season/metadata/Carl Anders Theodor Starfelt/Carl Anders Theodor Starfelt_Rare_0.json,https://players.gameon.app/laliga/season/metadata/Carl Anders Theodor Starfelt/Carl Anders Theodor Starfelt_Ultra Rare_0.json,https://players.gameon.app/laliga/season/metadata/Carl Anders Theodor Starfelt/Carl Anders Theodor Starfelt_Legendary_0.json,https://players.gameon.app/laliga/season/images/Carl Anders Theodor Starfelt/Carl Anders Theodor Starfelt_Common_0.png,https://players.gameon.app/laliga/season/images/Carl Anders Theodor Starfelt/Carl Anders Theodor Starfelt_Uncommon_0.png,https://players.gameon.app/laliga/season/images/Carl Anders Theodor Starfelt/Carl Anders Theodor Starfelt_Rare_0.png,https://players.gameon.app/laliga/season/images/Carl Anders Theodor Starfelt/Carl Anders Theodor Starfelt_Ultra Rare_0.png,https://players.gameon.app/laliga/season/images/Carl Anders Theodor Starfelt/Carl Anders Theodor Starfelt_Legendary_0.png
Carlos Dominguez Caceres,23,Spain,Centre-Back,CELTA DE VIGO,Defence,2,,,,1.35,1.35,1.35,1.35,1.0,1.0,1.0,1.05,1.45,1.45,1.65,,1.0,1.0,1.0,1.15,1.55,1.55,1.75,,1.0,1.0,1.0,1.3,1.7,1.7,1.9,,1.0,1.0,1.0,1.5,1.9,1.9,2.1,,1.0,1.0,1.0,1.75,2.15,2.15,2.35,Carlos Dominguez Caceres.png,,3sy16pz110zmyq073ao24l1ck,Celta Vigo.png,Carlos Dominguez Caceres.png,1,https://players.gameon.app/laliga/season/metadata/Carlos Dominguez Caceres/Carlos Dominguez Caceres_Common_0.json,https://players.gameon.app/laliga/season/metadata/Carlos Dominguez Caceres/Carlos Dominguez Caceres_Uncommon_0.json,https://players.gameon.app/laliga/season/metadata/Carlos Dominguez Caceres/Carlos Dominguez Caceres_Rare_0.json,https://players.gameon.app/laliga/season/metadata/Carlos Dominguez Caceres/Carlos Dominguez Caceres_Ultra Rare_0.json,https://players.gameon.app/laliga/season/metadata/Carlos Dominguez Caceres/Carlos Dominguez Caceres_Legendary_0.json,https://players.gameon.app/laliga/season/images/Carlos Dominguez Caceres/Carlos Dominguez Caceres_Common_0.png,https://players.gameon.app/laliga/season/images/Carlos Dominguez Caceres/Carlos Dominguez Caceres_Uncommon_0.png,https://players.gameon.app/laliga/season/images/Carlos Dominguez Caceres/Carlos Dominguez Caceres_Rare_0.png,https://players.gameon.app/laliga/season/images/Carlos Dominguez Caceres/Carlos Dominguez Caceres_Ultra Rare_0.png,https://players.gameon.app/laliga/season/images/Carlos Dominguez Caceres/Carlos Dominguez Caceres_Legendary_0.png
Damian Rodriguez Sousa,21,Spain,Defensive Midfield,CELTA DE VIGO,Midfield,1,,,,1.35,1.35,1.35,1.35,1.0,1.0,1.0,1.25,1.5,1.5,1.25,,1.0,1.0,1.0,1.35,1.6,1.6,1.35,,1.0,1.0,1.0,1.5,1.75,1.75,1.5,,1.0,1.0,1.0,1.7,1.95,1.95,1.7,,1.0,1.0,1.0,1.95,2.2,2.2,1.95,Damian Rodriguez Sousa.png,,81fw03v34t2u3xnwq5gpdbpck,Celta Vigo.png,Damian Rodriguez Sousa.png,1,https://players.gameon.app/laliga/season/metadata/Damian Rodriguez Sousa/Damian Rodriguez Sousa_Common_0.json,https://players.gameon.app/laliga/season/metadata/Damian Rodriguez Sousa/Damian Rodriguez Sousa_Uncommon_0.json,https://players.gameon.app/laliga/season/metadata/Damian Rodriguez Sousa/Damian Rodriguez Sousa_Rare_0.json,https://players.gameon.app/laliga/season/metadata/Damian Rodriguez Sousa/Damian Rodriguez Sousa_Ultra Rare_0.json,https://players.gameon.app/laliga/season/metadata/Damian Rodriguez Sousa/Damian Rodriguez Sousa_Legendary_0.json,https://players.gameon.app/laliga/season/images/Damian Rodriguez Sousa/Damian Rodriguez Sousa_Common_0.png,https://players.gameon.app/laliga/season/images/Damian Rodriguez Sousa/Damian Rodriguez Sousa_Uncommon_0.png,https://players.gameon.app/laliga/season/images/Damian Rodriguez Sousa/Damian Rodriguez Sousa_Rare_0.png,https://players.gameon.app/laliga/season/images/Damian Rodriguez Sousa/Damian Rodriguez Sousa_Ultra Rare_0.png,https://players.gameon.app/laliga/season/images/Damian Rodriguez Sousa/Damian Rodriguez Sousa_Legendary_0.png
Francisco Jose Beltran Peinado,25,Spain,Central Midfield,CELTA DE VIGO,Midfield,3,,,,1.35,1.35,1.35,1.35,1.0,1.0,1.0,1.35,1.6,1.6,1.35,,1.0,1.0,1.0,1.45,1.7,1.7,1.45,,1.0,1.0,1.0,1.6,1.85,1.85,1.6,,1.0,1.0,1.0,1.8,2.05,2.05,1.8,,1.0,1.0,1.0,2.05,2.3,2.3,2.05,Francisco Jose Beltran Peinado.png,,e3czx0nsuw10acnftbr8ud0bt,Celta Vigo.png,Francisco Jose Beltran Peinado.png,1,https://players.gameon.app/laliga/season/metadata/Francisco Jose Beltran Peinado/Francisco Jose Beltran Peinado_Common_0.json,https://players.gameon.app/laliga/season/metadata/Francisco Jose Beltran Peinado/Francisco Jose Beltran Peinado_Uncommon_0.json,https://players.gameon.app/laliga/season/metadata/Francisco Jose Beltran Peinado/Francisco Jose Beltran Peinado_Rare_0.json,https://players.gameon.app/laliga/season/metadata/Francisco Jose Beltran Peinado/Francisco Jose Beltran Peinado_Ultra Rare_0.json,https://players.gameon.app/laliga/season/metadata/Francisco Jose Beltran Peinado/Francisco Jose Beltran Peinado_Legendary_0.json,https://players.gameon.app/laliga/season/images/Francisco Jose Beltran Peinado/Francisco Jose Beltran Peinado_Common_0.png,https://players.gameon.app/laliga/season/images/Francisco Jose Beltran Peinado/Francisco Jose Beltran Peinado_Uncommon_0.png,https://players.gameon.app/laliga/season/images/Francisco Jose Beltran Peinado/Francisco Jose Beltran Peinado_Rare_0.png,https://players.gameon.app/laliga/season/images/Francisco Jose Beltran Peinado/Francisco Jose Beltran Peinado_Ultra Rare_0.png,https://players.gameon.app/laliga/season/images/Francisco Jose Beltran Peinado/Francisco Jose Beltran Peinado_Legendary_0.png
Franco Emanuel Cervi,30,Argentina,Left Winger,CELTA DE VIGO,Offence,2,,,,1.35,1.35,1.35,1.35,1.0,1.0,1.0,1.55,1.35,1.3,1.15,,1.0,1.0,1.0,1.65,1.45,1.4,1.25,,1.0,1.0,1.0,1.8,1.6,1.55,1.4,,1.0,1.0,1.0,2.0,1.8,1.75,1.6,,1.0,1.0,1.0,2.25,2.05,2.0,1.85,Franco Emanuel Cervi.png,,5ez2huoeh2g3ijpgr7m15lg5,Celta Vigo.png,Franco Emanuel Cervi.png,1,https://players.gameon.app/laliga/season/metadata/Franco Emanuel Cervi/Franco Emanuel Cervi_Common_0.json,https://players.gameon.app/laliga/season/metadata/Franco Emanuel Cervi/Franco Emanuel Cervi_Uncommon_0.json,https://players.gameon.app/laliga/season/metadata/Franco Emanuel Cervi/Franco Emanuel Cervi_Rare_0.json,https://players.gameon.app/laliga/season/metadata/Franco Emanuel Cervi/Franco Emanuel Cervi_Ultra Rare_0.json,https://players.gameon.app/laliga/season/metadata/Franco Emanuel Cervi/Franco Emanuel Cervi_Legendary_0.json,https://players.gameon.app/laliga/season/images/Franco Emanuel Cervi/Franco Emanuel Cervi_Common_0.png,https://players.gameon.app/laliga/season/images/Franco Emanuel Cervi/Franco Emanuel Cervi_Uncommon_0.png,https://players.gameon.app/laliga/season/images/Franco Emanuel Cervi/Franco Emanuel Cervi_Rare_0.png,https://players.gameon.app/laliga/season/images/Franco Emanuel Cervi/Franco Emanuel Cervi_Ultra Rare_0.png,https://players.gameon.app/laliga/season/images/Franco Emanuel Cervi/Franco Emanuel Cervi_Legendary_0.png
Hugo Alvarez Antunez,21,Spain,Left Winger,CELTA DE VIGO,Offence,2,,,,1.35,1.35,1.35,1.35,1.0,1.0,1.0,1.55,1.35,1.3,1.15,,1.0,1.0,1.0,1.65,1.45,1.4,1.25,,1.0,1.0,1.0,1.8,1.6,1.55,1.4,,1.0,1.0,1.0,2.0,1.8,1.75,1.6,,1.0,1.0,1.0,2.25,2.05,2.0,1.85,Hugo Alvarez Antunez.png,,daid84a2zbh8rasleahdp8nis,Celta Vigo.png,Hugo Alvarez Antunez.png,1,https://players.gameon.app/laliga/season/metadata/Hugo Alvarez Antunez/Hugo Alvarez Antunez_Common_0.json,https://players.gameon.app/laliga/season/metadata/Hugo Alvarez Antunez/Hugo Alvarez Antunez_Uncommon_0.json,https://players.gameon.app/laliga/season/metadata/Hugo Alvarez Antunez/Hugo Alvarez Antunez_Rare_0.json,https://players.gameon.app/laliga/season/metadata/Hugo Alvarez Antunez/Hugo Alvarez Antunez_Ultra Rare_0.json,https://players.gameon.app/laliga/season/metadata/Hugo Alvarez Antunez/Hugo Alvarez Antunez_Legendary_0.json,https://players.gameon.app/laliga/season/images/Hugo Alvarez Antunez/Hugo Alvarez Antunez_Common_0.png,https://players.gameon.app/laliga/season/images/Hugo Alvarez Antunez/Hugo Alvarez Antunez_Uncommon_0.png,https://players.gameon.app/laliga/season/images/Hugo Alvarez Antunez/Hugo Alvarez Antunez_Rare_0.png,https://players.gameon.app/laliga/season/images/Hugo Alvarez Antunez/Hugo Alvarez Antunez_Ultra Rare_0.png,https://players.gameon.app/laliga/season/images/Hugo Alvarez Antunez/Hugo Alvarez Antunez_Legendary_0.png
Hugo Sotelo Gomez,20,Spain,Central Midfield,CELTA DE VIGO,Midfield,2,,,,1.35,1.35,1.35,1.35,1.0,1.0,1.0,1.3,1.55,1.55,1.4,,1.0,1.0,1.0,1.4,1.65,1.65,1.5,,1.0,1.0,1.0,1.55,1.8,1.8,1.65,,1.0,1.0,1.0,1.75,2.0,2.0,1.85,,1.0,1.0,1.0,2.0,2.25,2.25,2.1,Hugo Sotelo Gomez.png,,c60m17adgxbewkrzizwtzd91w,Celta Vigo.png,Hugo Sotelo Gomez.png,1,https://players.gameon.app/laliga/season/metadata/Hugo Sotelo Gomez/Hugo Sotelo Gomez_Common_0.json,https://players.gameon.app/laliga/season/metadata/Hugo Sotelo Gomez/Hugo Sotelo Gomez_Uncommon_0.json,https://players.gameon.app/laliga/season/metadata/Hugo Sotelo Gomez/Hugo Sotelo Gomez_Rare_0.json,https://players.gameon.app/laliga/season/metadata/Hugo Sotelo Gomez/Hugo Sotelo Gomez_Ultra Rare_0.json,https://players.gameon.app/laliga/season/metadata/Hugo Sotelo Gomez/Hugo Sotelo Gomez_Legendary_0.json,https://players.gameon.app/laliga/season/images/Hugo Sotelo Gomez/Hugo Sotelo Gomez_Common_0.png,https://players.gameon.app/laliga/season/images/Hugo Sotelo Gomez/Hugo Sotelo Gomez_Uncommon_0.png,https://players.gameon.app/laliga/season/images/Hugo Sotelo Gomez/Hugo Sotelo Gomez_Rare_0.png,https://players.gameon.app/laliga/season/images/Hugo Sotelo Gomez/Hugo Sotelo Gomez_Ultra Rare_0.png,https://players.gameon.app/laliga/season/images/Hugo Sotelo Gomez/Hugo Sotelo Gomez_Legendary_0.png
